site name;Pascale Industrie Alimentari;report type;Daily Report;statistical time;2026-05
;;;;;
;;;;;
Time;PV Yield Energy (kWh);Feed-in Energy (kWh);Energy From Grid (kWh);Consumed Energy (kWh);
2026-05-01;808.6;8.58;959.2;1759.22;
2026-05-02;1266.7;8.2;1507.68;2766.18;
2026-05-03;787.7;12.85;844.99;1619.84;
2026-05-04;1464.9;0.84;1748.25;3212.31;
2026-05-05;797.5;0;2545.83;3343.33;
2026-05-06;1114.9;0.05;2260.73;3375.58;
2026-05-07;1375.1;0;2082.31;3457.41;
2026-05-08;971.3;0;2458.69;3429.99;
2026-05-09;1452.8;7.64;1389.92;2835.08;
2026-05-10;625.2;8.72;974.81;1591.29;
2026-05-11;1595.8;2.15;1774.15;3367.8;
2026-05-12;1429.7;1.22;1810.17;3238.65;
2026-05-13;704.5;0.24;2446.05;3150.31;
2026-05-14;1497.8;4.17;1645.25;3138.88;
2026-05-15;942;0;2041.12;2983.12;
2026-05-16;596.7;6.75;1215.13;1805.08;
2026-05-17;722.7;10.12;845.32;1557.9;
2026-05-18;1605;4.41;1370.52;2971.11;
2026-05-19;1554.5;0.84;1615.04;3168.7;
2026-05-20;1619.9;1.46;1884.42;3502.86;
2026-05-21;1707;3.98;1343.13;3046.15;
